family,species,Sexual_dimorphism,Location,Direction,Natal_coat,Natal_Coat_Type,Sexual_dichromatism,Sexual_dichromatism_type,Where,Darker,DC_Body,DC_Head,DC_Multiple,DC_Cape,DC_Pubis,DC_Tail,DM_Head,DM_Body,DM_Pubis,DM_Tail,DM_Cape,DM_Mane,DM_Multiple,DM_All,DM_Male_Growth,DM_Female_Growth,DM_Both,DC_Male_Darker,DC_Female_Darker,DC_Varies,NC_incon,NC_con_mom,NC_con_dad,NC_con_both,DC_Complete,DC_Partial,Size_Dimorphism
cercopithecidae,Cercocebus_atys,No,NA,NA,Yes,incon,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,0
cercopithecidae,Cercopithecus_ascanius,No,NA,NA,Yes,incon,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1
cercopithecidae,Cercopithecus_campbelli,No,NA,NA,Yes,incon,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1
cercopithecidae,Cercopithecus_cephus,No,NA,NA,Yes,incon,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1
cercopithecidae,Cercopithecus_diana,No,NA,NA,Yes,incon,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1
cercopithecidae,Cercopithecus_dryas,No,NA,NA,Yes,incon,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1
cercopithecidae,Cercopithecus_erythrogaster,No,NA,NA,Yes,incon,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,1
cercopithecidae,Cercopithecus_erythrotis,Yes,Pubis,M,Yes,incon,Yes,Partial,Multiple,M,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
cercopithecidae,Cercopithecus_hamlyni,No,NA,NA,Yes,con to both,Yes,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1
cercopithecidae,Cercopithecus_lhoesti,No,NA,NA,Yes,incon,Yes,Partial,Pubis,F,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,1,1
cercopithecidae,Cercopithecus_mitis,Yes,"Head,Body",F,Yes,incon,Yes,Partial,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,1,0,0,0,0,1,1
cercopithecidae,Cercopithecus_mona,No,NA,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
cercopithecidae,Cercopithecus_neglectus,No,NA,NA,Yes,incon,Yes,Partial,Pubis,M,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,1
cercopithecidae,Cercopithecus_nictitans,Yes,Pubis,F,Yes,incon,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,1,0,0,0,NA,NA,1
cercopithecidae,Cercopithecus_petaurista,No,NA,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
cercopithecidae,Cercopithecus_pogonias,No,NA,NA,No,NA,Yes,Partial,Body,M,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,0,1,1
cercopithecidae,Cercopithecus_preussi,Yes,Pubis,F,No,NA,Yes,Partial,Pubis,F,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,0,1,0
