Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
31	1	-1629.554	-1729.268	99.71376	0.150053	0.290441	0.230077	0.0585151	0.0811368	0.00900761	0.0116546	0.0117118	0.00602217	0.00826996	0.13597	0.35999	0.0654343	0.357569	0.0810364	0.159061	0.302096	0.241789	0.0645372	0.0894067	0.00941415	0.000169209	0.00685324	0.00813517	0.00690078	0.0131769	0.0101136	0.00355861	0.0117792	0.00118149	0.000226571	0.00649507	0.00116578	0.00567136	0.00638728	0.000307272	0.000807665	0.000644985	0.00834527	0.00131748
32	0	-1602.974	-1698.316	95.34158	0.139703	0.228738	0.0572274	0.060094	0.0445723	0.00593029	0.0073874	0.00561402	0.00506781	0.00360858	0.361348	0.03213	0.323218	0.259797	0.0235066	0.145633	0.236125	0.0628414	0.0651619	0.0481809	0.0119551	0.00110931	0.00323896	0.00537862	0.0211166	0.0024481	0.00163833	0.0150606	7.12302e-05	0.00309443	0.000954187	0.0142211	0.0213018	0.00480749	0.00666101	0.0108416	0.0240342	0.0148672	0.000755564	0.00828186
33	1	-1627.481	-1726.873	99.3921	0.158316	0.333406	0.258674	0.0537545	0.0806533	0.0111642	0.0104957	0.0132349	0.00679542	0.00875342	0.134208	0.355325	0.077544	0.352936	0.0799864	0.16948	0.343902	0.271909	0.0605499	0.0894067	0.00916376	0.000160834	0.00626117	0.00776996	0.00752709	0.0126996	0.00940014	0.0036157	0.0114098	0.00128893	0.000222331	0.00652721	0.00116578	0.00499939	0.00557307	0.000330576	0.00085828	0.000650179	0.0092105	0.00131887
34	0	-1601.762	-1696.248	94.4861	0.152745	0.237777	0.055959	0.0598861	0.0534109	0.00597666	0.00619726	0.00513947	0.00606396	0.00382701	0.361348	0.03213	0.323218	0.259797	0.0235066	0.158722	0.243974	0.0610985	0.0659501	0.057238	0.0122315	0.000960595	0.00330501	0.00500742	0.020021	0.00227571	0.0014991	0.0159672	8.35048e-05	0.0027547	0.000737499	0.0135577	0.022316	0.00505356	0.0065504	0.00887305	0.0248001	0.0208657	0.000699929	0.00874303
35	1	-1626.87	-1726.19	99.32001	0.175823	0.329821	0.268354	0.0504508	0.0773349	0.0112145	0.00970284	0.0140313	0.00685096	0.00926112	0.134208	0.355325	0.077544	0.352936	0.0799864	0.187038	0.339524	0.282386	0.0573018	0.0865961	0.0095731	0.000154683	0.00644028	0.0070838	0.00769201	0.0126996	0.00987001	0.00368698	0.0102692	0.00122473	0.000225391	0.00707071	0.00110812	0.00449891	0.00527634	0.00031348	0.00106085	0.000650179	0.00969771	0.00145787
36	0	-1599.532	-1694.202	94.67034	0.193122	0.237777	0.0694662	0.0606491	0.0565832	0.00524705	0.00619726	0.00544174	0.00537774	0.00378382	0.456712	0.0406094	0.408519	0.0644486	0.0297103	0.198369	0.243974	0.0749079	0.0660268	0.0603671	0.0121391	0.000902546	0.00324896	0.00457554	0.0196842	0.00260216	0.00122024	0.011921	8.98835e-05	0.00272576	0.00073975	0.0128759	0.0263747	0.00466693	0.00639444	0.00863643	0.0245409	0.0195269	0.000663872	0.00933514
37	1	-1621.364	-1721.108	99.74374	0.166258	0.324426	0.243507	0.046901	0.0684821	0.0101935	0.0101849	0.0135479	0.00710508	0.00950555	0.15184	0.283567	0.0747949	0.399303	0.0904947	0.176452	0.334611	0.257055	0.054006	0.0779876	0.0103727	0.000141879	0.00620991	0.00601527	0.00825806	0.0109888	0.00982855	0.00364546	0.0109218	0.00166694	0.000234129	0.00685588	0.00110812	0.00449844	0.00490166	0.000324408	0.0012024	0.000657962	0.0101275	0.00154625
38	0	-1593.375	-1687.914	94.53844	0.179076	0.302032	0.0816318	0.06062	0.0527634	0.00655693	0.00667943	0.00430359	0.00540684	0.00469007	0.456712	0.0406094	0.408519	0.0644486	0.0297103	0.185633	0.308711	0.0859353	0.0660268	0.0574534	0.0152317	0.000937847	0.0033251	0.00442969	0.0185138	0.00253463	0.00118912	0.0118547	0.000105378	0.00266674	0.000755492	0.0142083	0.0241056	0.00483777	0.00603468	0.00862651	0.0206356	0.0186388	0.000610209	0.0105774
39	1	-1621.64	-1721.302	99.66241	0.178908	0.337898	0.295863	0.0397317	0.0637984	0.0107637	0.0106729	0.0143858	0.0067584	0.00848561	0.15184	0.283567	0.0747949	0.399303	0.0904947	0.189671	0.348571	0.310249	0.0464901	0.072284	0.010055	0.000152141	0.00637706	0.00611404	0.00862696	0.0108085	0.00982855	0.00350596	0.0101468	0.00154726	0.000241153	0.00710253	0.00115925	0.00425599	0.00471322	0.000311862	0.00133674	0.000671702	0.0109388	0.0016741
40	0	-1594.954	-1688.694	93.73977	0.212312	0.31462	0.088958	0.0621796	0.0548733	0.00646936	0.00700578	0.00425235	0.00624917	0.00461944	0.203415	0.572698	0.18195	0.0287047	0.0132326	0.218781	0.321626	0.0932103	0.0684288	0.0594928	0.0156487	0.000909458	0.00309219	0.00420246	0.0193603	0.00265708	0.00106037	0.011753	9.5238e-05	0.00266674	0.000695053	0.0172446	0.0228873	0.00448321	0.00585271	0.00935225	0.0201737	0.0186388	0.000601574	0.0106049
41	1	-1617.779	-1717.541	99.76164	0.172348	0.330238	0.301548	0.0348874	0.0762951	0.0109197	0.0106354	0.0154747	0.00634183	0.00740529	0.15184	0.283567	0.0747949	0.399303	0.0904947	0.183268	0.340873	0.317023	0.0412292	0.0837004	0.0097066	0.000165341	0.00534935	0.00570987	0.0102996	0.0094682	0.011476	0.00344768	0.00981986	0.00154726	0.000243507	0.00711963	0.00119768	0.00414345	0.00461102	0.000282562	0.00136999	0.000740779	0.0111834	0.00187433
42	0	-1593.041	-1686.216	93.17539	0.202623	0.306316	0.0894668	0.070264	0.0674609	0.00646936	0.00732748	0.00374356	0.00692289	0.00465621	0.443392	0.0685899	0.396605	0.062569	0.0288438	0.209092	0.313643	0.0932103	0.0771869	0.0721171	0.017768	0.000937845	0.00309602	0.00422079	0.0193603	0.00254506	0.000968295	0.00985314	9.22061e-05	0.00306796	0.000749104	0.0172446	0.0258202	0.00543624	0.00585271	0.00795203	0.0200796	0.0171892	0.000572876	0.0113681
43	1	-1618.051	-1717.736	99.68552	0.185753	0.320493	0.328953	0.0486635	0.0777349	0.0113832	0.0085409	0.0149996	0.00561851	0.00778705	0.312631	0.22981	0.0606155	0.323605	0.073339	0.197137	0.329033	0.343953	0.054282	0.0855219	0.0104573	0.000174117	0.00491397	0.00551859	0.00992649	0.0101171	0.011476	0.00300262	0.0100554	0.00174175	0.000239041	0.00738432	0.00137825	0.00386516	0.00462322	0.0002473	0.00136999	0.000880856	0.00998869	0.00194964
44	0	-1589.032	-1682.223	93.19114	0.165467	0.306127	0.0982498	0.0735362	0.0613966	0.0064891	0.00751666	0.00378308	0.00635972	0.00509656	0.464503	0.0674164	0.378232	0.0614984	0.0283503	0.171956	0.313643	0.102033	0.0798959	0.0664932	0.0223434	0.000849504	0.00297869	0.00459198	0.0211911	0.00273321	0.00106101	0.00879592	8.71337e-05	0.00312004	0.00076169	0.015683	0.022755	0.00535778	0.00582036	0.00721393	0.0200796	0.017561	0.000453771	0.0114186
45	1	-1616.786	-1717.493	100.7076	0.180518	0.333484	0.336847	0.050374	0.0822263	0.0100482	0.0085409	0.0149918	0.00475327	0.00781863	0.312631	0.22981	0.0606155	0.323605	0.073339	0.190566	0.342024	0.351839	0.0551273	0.090045	0.010982	0.000168224	0.00512646	0.00551859	0.00948276	0.00928431	0.0104342	0.00294276	0.00924235	0.00179813	0.000244016	0.00656019	0.0013658	0.00368391	0.00502773	0.000301452	0.00133904	0.000801368	0.00725754	0.00157095
46	0	-1588.593	-1681.161	92.56803	0.16474	0.305949	0.103265	0.0742671	0.0608286	0.00652396	0.0076948	0.00425765	0.00695105	0.00530379	0.464503	0.0674164	0.378232	0.0614984	0.0283503	0.171264	0.313643	0.107523	0.0812181	0.0661324	0.0234377	0.000882131	0.00255348	0.00542916	0.0222159	0.00248266	0.00114736	0.00829055	8.71337e-05	0.00278044	0.000862113	0.0139502	0.0263641	0.00495605	0.00616419	0.00724476	0.0200796	0.0172847	0.000483688	0.0103096
47	1	-1613.981	-1714.776	100.7953	0.131639	0.290532	0.356185	0.052342	0.087284	0.0107432	0.00790442	0.0155314	0.00459862	0.00886077	0.312631	0.22981	0.0606155	0.323605	0.073339	0.142383	0.298436	0.371717	0.0569406	0.0961448	0.0117242	0.000192217	0.00482344	0.00562878	0.00948276	0.00861122	0.00943309	0.00332188	0.0101705	0.00195921	0.000310614	0.00631695	0.0013658	0.00370632	0.0055141	0.000285364	0.00144515	0.000801368	0.00678891	0.00177551
48	0	-1588.329	-1681.13	92.80041	0.169166	0.300993	0.0968757	0.0735423	0.0546281	0.00564475	0.00723315	0.0043333	0.00695105	0.00588272	0.479695	0.0696213	0.390602	0.0308035	0.0292775	0.174811	0.308227	0.101209	0.0804933	0.0605108	0.0216278	0.00108561	0.00204168	0.00566418	0.0232433	0.00277775	0.00118879	0.00818191	9.27797e-05	0.00261631	0.000850767	0.0139502	0.0289069	0.00466546	0.00637539	0.00807831	0.0183408	0.0181279	0.000483688	0.00876772
