"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_males_only","maturation_females_only","maturation_both","maturation_none","all_color_traits","superfamily"
"Ateles_paniscus","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Platyrrhini"
"Ateles_chamek","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Ateles_marginatus","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Platyrrhini"
"Ateles_belzebuth","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Brachyteles_arachnoides","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Lagothrix_lagotricha","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Platyrrhini"
"Oreonax_flavicauda","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,0,0,1,0,"Platyrrhini"
"Alouatta_pigra","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Platyrrhini"
"Alouatta_palliata","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,0,0,1,1,"Platyrrhini"
"Alouatta_guariba","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Complete",1,0,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Alouatta_belzebul","Cebidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Alouatta_caraya","Cebidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,0,0,0,1,"Platyrrhini"
"Alouatta_sara","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,0,0,1,1,"Platyrrhini"
"Alouatta_seniculus","Cebidae",0,"no","none",0,0,0,1,"Partial",0,1,1,1,"None",0,0,0,1,1,"Platyrrhini"
"Symphalangus_syndactylus","Hylobatidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,0,0,1,0,"Hominoidea"
