Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
36	0	-1627.146	-1720.074	92.92876	0.195162	0.34581	0.0631627	0.0383318	0.107386	0.00409128	0.00476067	0.00673922	0.00639152	0.0064479	0.580523	0.0197436	0.189002	0.00597533	0.204756	0.199254	0.350571	0.0699019	0.0447233	0.113834	0.0393063	0.00473766	0.00235817	0.0051827	0.00118836	0.00391039	0.00894254	0.00163431	0.00698856	0.00271203	0.00558362	0.00579206	0.00280882	0.0057841	0.0130086	0.0268842	0.00165285	0.00805553	0.0111934	0.0210488
37	1	-1646.96	-1739.498	92.53751	0.234573	0.271471	0.0544164	0.0639203	0.090743	0.00502156	0.00954958	0.0071953	0.0143222	0.0108794	0.0906372	0.636925	0.0127206	0.0245975	0.23512	0.239594	0.281021	0.0616117	0.0782425	0.101622	0.0364433	0.00200503	0.0113331	0.00501623	0.000165684	0.00133389	0.0159772	0.00634166	0.00435649	0.00300112	0.00479915	0.00233985	0.000351279	0.00388354	0.0048469	0.0227513	0.0261957	0.00335731	0.00331612	0.00463488
38	0	-1626.386	-1718.984	92.5983	0.204131	0.345814	0.0636879	0.0364917	0.124583	0.00415369	0.00475716	0.00635391	0.00641444	0.00639949	0.580523	0.0197436	0.189002	0.00597533	0.204756	0.208285	0.350571	0.0700419	0.0429061	0.130982	0.0399948	0.00522912	0.00185057	0.00473292	0.00122086	0.00409426	0.00984636	0.00141045	0.00820314	0.00298632	0.00496277	0.00531638	0.00345087	0.00616643	0.0136406	0.0271201	0.00163965	0.00913853	0.00977194	0.0197406
39	1	-1648.091	-1741.307	93.21549	0.23331	0.270722	0.0552	0.0582635	0.0944758	0.00487415	0.0102986	0.00641172	0.0135122	0.00881286	0.0906372	0.636925	0.0127206	0.0245975	0.23512	0.238185	0.281021	0.0616117	0.0717757	0.103289	0.0351628	0.00191062	0.0112625	0.00466453	0.000163394	0.0013901	0.0171391	0.00724991	0.00395408	0.0032202	0.00484098	0.00215493	0.000373065	0.0038171	0.00432587	0.0263819	0.0222687	0.00304678	0.00299392	0.00416257
40	0	-1625.279	-1718.76	93.48057	0.211932	0.340329	0.0662287	0.0366338	0.13203	0.00400158	0.00459922	0.00664297	0.00627235	0.0055316	0.580523	0.0197436	0.189002	0.00597533	0.204756	0.215933	0.344929	0.0728717	0.0429061	0.137561	0.038206	0.00519441	0.0018185	0.00451008	0.00133284	0.00413741	0.00951363	0.00161382	0.00831168	0.00288924	0.0045165	0.00538258	0.00356306	0.00672035	0.0129145	0.0284674	0.0017601	0.00873155	0.00989241	0.0151021
41	1	-1646.582	-1740.077	93.49509	0.234058	0.303457	0.0610662	0.0581938	0.0984235	0.00412627	0.00896273	0.00626	0.0147512	0.00906791	0.0906372	0.636925	0.0127206	0.0245975	0.23512	0.238185	0.31242	0.0673262	0.072945	0.107491	0.0357124	0.0017846	0.0112887	0.00432307	0.000177944	0.00132566	0.0165374	0.00722146	0.00395408	0.00326276	0.00433709	0.00219714	0.000413038	0.00378076	0.00465171	0.0263819	0.0210849	0.00284294	0.00308669	0.00375331
42	0	-1623.608	-1717.195	93.58714	0.212099	0.338884	0.0600266	0.0374579	0.142712	0.00383479	0.0060441	0.00680449	0.00544822	0.00461101	0.519458	0.0176667	0.169121	0.00534678	0.288408	0.215933	0.344929	0.0668311	0.0429061	0.147323	0.0430886	0.0059663	0.00219113	0.0046538	0.00135273	0.0041835	0.00905065	0.00159984	0.00903333	0.00209155	0.0045165	0.00572109	0.0033773	0.00696577	0.0119433	0.0237622	0.00188071	0.00908323	0.00951274	0.0144522
43	1	-1646.366	-1739.885	93.51919	0.234083	0.297052	0.0597469	0.0641505	0.0937674	0.00412627	0.00896273	0.0057216	0.0160955	0.00922416	0.0906372	0.636925	0.0127206	0.0245975	0.23512	0.238209	0.306014	0.0654685	0.0802461	0.102992	0.0360832	0.00212727	0.0115044	0.00456311	0.00019944	0.00122371	0.0163856	0.00779359	0.00434342	0.00332672	0.00426536	0.00205743	0.000416497	0.00343544	0.00417222	0.0266091	0.0192953	0.00284294	0.00291782	0.00423792
44	0	-1624.248	-1717.887	93.63909	0.193186	0.357161	0.0530318	0.0370031	0.159298	0.00388927	0.0055429	0.00621587	0.006121	0.00374089	0.519458	0.0176667	0.169121	0.00534678	0.288408	0.197075	0.362704	0.0592477	0.0431241	0.163039	0.0426614	0.00675519	0.00204466	0.00523868	0.00132404	0.00417452	0.00905065	0.00181771	0.00999239	0.00197034	0.00485873	0.00598009	0.00319569	0.00622399	0.0116485	0.0268373	0.00198993	0.00758113	0.00968412	0.0133282
45	1	-1642.781	-1736.276	93.4946	0.214021	0.320554	0.0525961	0.0517637	0.0884372	0.00415712	0.00890428	0.0054976	0.0164017	0.00860623	0.0906372	0.636925	0.0127206	0.0245975	0.23512	0.218178	0.329459	0.0580937	0.0681654	0.0970434	0.0387945	0.0019442	0.0115839	0.00522715	0.000220278	0.00117137	0.0157539	0.00923917	0.00433646	0.00335328	0.00391301	0.00200797	0.000418367	0.00317939	0.00391263	0.0269594	0.0192953	0.00276567	0.00299542	0.00423792
