Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	diversification[5]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]	transition_rates[7]	transition_rates[8]	transition_rates[9]	transition_rates[10]	transition_rates[11]	transition_rates[12]	transition_rates[13]	transition_rates[14]	transition_rates[15]	transition_rates[16]	transition_rates[17]	transition_rates[18]	transition_rates[19]	transition_rates[20]
40	-3254.346	-3342.886	88.54016	0.18154	0.315428	0.0761382	0.00755199	0.0949851	0.00827871	0.00813806	0.0116415	0.00636858	0.00445409	0.0131191	0.314736	0.501692	0.00874575	0.161707	0.189819	0.323566	0.0877797	0.0139206	0.0994392	0.035364	0.00117639	0.000428428	0.000390021	0.0195635	0.00286514	0.00651249	0.00334485	0.00688219	0.00866603	0.0529676	0.000538666	0.033537	0.00353058	0.00101769	0.00373378	0.0119327	0.00551131	0.0026967	0.00928129
41	-3250.274	-3338.991	88.71648	0.175529	0.316276	0.0763966	0.00800798	0.0851258	0.00918832	0.00891369	0.0119492	0.0055356	0.00437042	0.0187727	0.312933	0.498818	0.00869564	0.16078	0.184717	0.32519	0.0883457	0.0135436	0.0894962	0.0387466	0.0012729	0.00037904	0.000403164	0.0229302	0.00258823	0.00700727	0.0032492	0.00639835	0.00939459	0.0504879	0.00057432	0.027873	0.00328061	0.00120678	0.00387327	0.0119327	0.00481342	0.002378	0.0104798
42	-3254.251	-3343.734	89.48267	0.183068	0.308802	0.0721949	0.00690355	0.073713	0.00902966	0.0103348	0.0126964	0.00629612	0.00406136	0.0187727	0.312933	0.498818	0.00869564	0.16078	0.192097	0.319137	0.0848914	0.0131997	0.0777744	0.0396731	0.00108978	0.00039993	0.000387781	0.0193614	0.00302884	0.00777388	0.00301831	0.00633112	0.0110484	0.0456351	0.000591044	0.0272313	0.0033481	0.00111398	0.00417987	0.0110983	0.00474678	0.00259172	0.0104499
43	-3252.611	-3340.538	87.92651	0.189514	0.30824	0.0718747	0.0100197	0.0773936	0.0101172	0.0108967	0.0130167	0.00645929	0.00409634	0.0187727	0.312933	0.498818	0.00869564	0.16078	0.199631	0.319137	0.0848914	0.016479	0.0814899	0.0446039	0.00100396	0.000390475	0.000314965	0.02119	0.00271121	0.00736364	0.00282845	0.00612618	0.0122449	0.0498039	0.000636539	0.0245674	0.00331055	0.000977622	0.00426645	0.0106404	0.00457575	0.00272732	0.0104499
44	-3251.63	-3341.239	89.60843	0.175023	0.317001	0.0594192	0.00902419	0.0842821	0.00866118	0.0107094	0.0136394	0.00657569	0.00421024	0.0164031	0.313689	0.500023	0.00871664	0.161169	0.183685	0.32771	0.0730587	0.0155999	0.0884923	0.0412653	0.000922661	0.000280241	0.000305902	0.0206758	0.00247196	0.0074777	0.0030282	0.00657355	0.0118531	0.0485129	0.000691741	0.0224468	0.00331055	0.00102631	0.0039949	0.010287	0.00380156	0.00267681	0.00852187
45	-3250.862	-3339.556	88.69331	0.173793	0.329289	0.0526004	0.0103249	0.0730395	0.00989145	0.0114387	0.0123161	0.00569075	0.00451218	0.0179311	0.342909	0.546599	0.00952859	0.0830321	0.183685	0.340728	0.0649164	0.0160156	0.0775517	0.0412653	0.000832781	0.000267898	0.000296803	0.0208296	0.00227628	0.00778382	0.0030322	0.00590913	0.0114511	0.0522585	0.000761145	0.0282065	0.00287522	0.000965724	0.00385794	0.0112216	0.00364687	0.00276238	0.00767125
46	-3249.331	-3337.471	88.1401	0.168301	0.326033	0.056183	0.0107118	0.078341	0.00907781	0.0133181	0.0124532	0.00588981	0.00411838	0.0186831	0.357291	0.526702	0.0108085	0.0865147	0.177378	0.339351	0.0686361	0.0166016	0.0824594	0.0425458	0.000918292	0.000295549	0.000298525	0.024723	0.00214992	0.00937292	0.00303052	0.00631935	0.0103698	0.0535556	0.000701344	0.0245854	0.00279124	0.00122736	0.00352066	0.0112216	0.00389121	0.00266401	0.00711403
47	-3252.148	-3340.511	88.36357	0.182107	0.276882	0.0472078	0.00654709	0.0740577	0.00907781	0.0130636	0.0143182	0.00675233	0.00395037	0.0186242	0.356165	0.528195	0.0107744	0.0862419	0.191185	0.289946	0.0615261	0.0132994	0.0780081	0.0463937	0.00080548	0.000328307	0.000264385	0.024212	0.00191719	0.0098098	0.00372244	0.00602626	0.00940652	0.0505451	0.00076018	0.0245854	0.00286596	0.0010462	0.00319919	0.0119913	0.00417389	0.00235448	0.00711403
48	-3252.766	-3342.412	89.6461	0.168143	0.271163	0.0460772	0.00740377	0.0754098	0.00890419	0.0130012	0.0121446	0.00675233	0.00383533	0.0186242	0.356165	0.528195	0.0107744	0.0862419	0.177048	0.284164	0.0582218	0.0141561	0.0792451	0.0439045	0.000707392	0.000336847	0.000303986	0.0251987	0.00210546	0.00996811	0.0036944	0.00641742	0.00940652	0.0465525	0.000705348	0.0194865	0.00317208	0.000947719	0.00353265	0.0149173	0.00430931	0.00226374	0.00620399
49	-3248.661	-3337.228	88.56653	0.172458	0.272221	0.0445487	0.00964587	0.0708905	0.00781474	0.0119431	0.0117915	0.00651967	0.00373274	0.0186242	0.356165	0.528195	0.0107744	0.0862419	0.180273	0.284164	0.0563402	0.0161655	0.0746232	0.0483026	0.000705366	0.000362593	0.000322047	0.0333685	0.00212137	0.0102544	0.0042023	0.00790923	0.0100836	0.0407754	0.000664884	0.0220025	0.00301877	0.000962124	0.00375634	0.0137629	0.00372856	0.00215667	0.00558761
