"","family","natal_coat","natal_coat_type","natal_coat_type_simple","natal_coat_conspicuous","natal_coat_inconspicuous","natal_coat_present","sexual_dichromatism","sexual_dichromatism_type","sexual_dichromatism_complete","sexual_dichromatism_partial","sexual_dichromatism_present","size_dimorphism","maturation_color_change","maturation_color_change_numeric","maturation_color_change_letter","all_color_traits","trait_combination","trait_id","trait_id_letter","superfamily"
"Pithecia_aequatorialis","Cebidae",0,NA,"none",0,0,0,1,"Partial",0,1,1,0,"None",0,"N","none_Partial_N","none_Partial_N",11,"K","Platyrrhini"
"Pithecia_monachus","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,1,"None",0,"N","inconspicuous_Partial_N","inconspicuous_Partial_N",8,"H","Platyrrhini"
"Pithecia_irrorata","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Pithecia_pithecia","Cebidae",1,"Con to dad","conspicuous",1,0,1,1,"Complete",1,0,1,1,"Males only",1,"M","conspicuous_Complete_M","conspicuous_Complete_M",2,"B","Platyrrhini"
"Chiropotes_chiropotes","Cebidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,0,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Chiropotes_albinasus","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Chiropotes_satanas","Cebidae",1,"incon","inconspicuous",0,1,1,1,"Partial",0,1,1,0,"None",0,"N","inconspicuous_Partial_N","inconspicuous_Partial_N",8,"H","Platyrrhini"
"Cacajao_calvus","Cebidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Cacajao_melanocephalus","Cebidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callithrix_aurita","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callithrix_kuhlii","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Mico_mauesi","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callithrix_flaviceps","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Mico_humeralifer","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callithrix_penicillata","Callitrichidae",1,"incon","inconspicuous",0,1,1,0,NA,NA,NA,0,1,"None",0,"N","inconspicuous_NA_N","inconspicuous_NA_N",7,"G","Platyrrhini"
"Mico_nigriceps","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callithrix_jacchus","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callithrix_geoffroyi","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Callimico_goeldii","Callitrichidae",0,"no","none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Leontopithecus_chrysomelas","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,1,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
"Leontopithecus_caissara","Callitrichidae",0,NA,"none",0,0,0,0,NA,NA,NA,0,0,"None",0,"N","none_NA_N","none_NA_N",10,"J","Platyrrhini"
