"family","Genus","species","subspecies","Sexual_dimorphism","Sexual_Dimorph_type","...7","Location","Direction","Natal_coat","Natal_Coat_Type","NC_description","Sexual_dichromatism","Sexual_dichromatism_type","Where","Darker","SDC_description"
"cebidae","chiropotes","satanas",NA,1,"tufts on crown and beard much larger in males emmons",NA,"Head",1,1,0,"BM2008, incon to both treves 10, less dark, beard and tufts underdeveloped, nose unpigmented hill",1,"Partial","Cape",1,"females may have a more distinct brownish wash on their shoulders and upper backs hill"
"cercopithecidae","chlorocebus","aethiops",NA,0,NA,NA,NA,0,1,4,"primate palette, c.a.pygerythrus incon or con to both treves 30 (dark in color until 4 or 5 months gartland), c.a.sabaeus con to both treves 31, c.a.tantalus con to both (dark grey almost black hill), forehead first to change treves 31, c.a.hilgerti lacking red tuft on tail, hand and feet grey hill",0,"Partial",NA,0,"c.a.zavattarii F: more reddish yellow than male hill"
"cercopithecidae","colobus","angolensis",NA,1,"tail not tufted in females grueter 2015",NA,"Tail",2,1,4,"infants born white and change to gray and then black in the first six months groves, con to both treves 40",1,"Partial","Pubis",2,"M: broad, oval white circumgenital mark F: narrow white perineal stripe groves"
"cercopithecidae","colobus","guereza",NA,0,NA,NA,NA,0,1,4,"born white then turns black by age 1 rowe 80, 602, c.g.kikuyensis con to both treves 21,36,40, in depth table in oates 1977",1,"Partial","Pubis",2,"M: an unbroken circle of white hair in the perineal region F: circle is broken into two patches oates 1977"
"cercopithecidae","colobus","polykomos",NA,0,NA,NA,NA,0,1,4,"white fur and pink skin oates, c.p.polykomos con to both treves 17,40-42, cant find treves 42, follows general black and white colobus pattern",0,NA,NA,0,NA
"cercopithecidae","colobus","satanas",NA,0,NA,NA,NA,0,1,0,"infant coat is brown rowe 635, incon to both treves 40, oates 1994",0,NA,NA,0,NA
"cercopithecidae","colobus","vellerosus",NA,0,NA,NA,NA,0,1,4,"con to both treves 40, white coat oates",0,NA,NA,0,NA
"daubentoniidae","daubentonia","madagascariensis",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"cercopithecidae","erythrocebus","patas",NA,0,NA,NA,NA,0,1,4,"infants are black until 3 months old rowe 346, incon or con to both treves 18, 36-38, palmer",1,"Partial","Head",1,"during pregnancy the facial hair of females turns white and then reverts back palmer"
"lemuridae","eulemur","coronatus",NA,0,NA,NA,NA,0,0,1,NA,1,"Partial","Head",1,"M: dark gray brown back and dark tail, v on head is orange and orange extends around the face and has black on the side. F: light gray"
"lemuridae","eulemur","fulvus","e. fulvus fulvus is not as sexually dichromatic as other subspecies",1,"females tend to have less fullness in the hair on their crown and beard",NA,"Head",1,1,6,"infants are the color of adult males, no treves 68, e.f.rufus born with male color",1,"Partial","Head",3,"head pattern in gender between sub-species vary rowe 580, table in cooper and hosey 2003 has all the subspecies"
"lemuridae","eulemur","flavifrons",NA,1,"males have a tuft of hair from the forehead to the back of the head mitt1994",NA,"Head",1,1,6,"sexual dichrom in neonates treves 69,70, females must have white ear tuft, infants are brownish black, female tails turn reddish orange after week 4, males are black tailed",1,"Complete",NA,1,"orange?? not explicitly described in rowe, females are paler than e.macaco macaco, rufus to tan back, white ventrum, reddish beard and dark extremities mitt1994"
"lemuridae","eulemur","macaco",NA,1,"long white ear tufts in females",NA,"Head",2,1,1,"sex dichrom in neonates treves 67,70, e.m.sanfordi no treves 67, infants of both sex start black, females become more brightly colored hill, female infants have the white ear tuft colquhoun",1,"Complete",NA,1,"M: all black. F: brown back, white underpants, gray head, long white ear tufts *rowe 580,  females range from light golden brown to dark chestnut brown tatterstall"
"lemuridae","eulemur","mongoz",NA,0,NA,NA,NA,0,1,2,"infants look like females up to a few months tattersall",1,"Complete",NA,1,"M: gray brown back and red hair around the face. F: gray to brown back, white beard, and dark gray face"
"lemuridae","eulemur","rubriventer",NA,0,NA,NA,NA,0,0,3,"differ from adults in its entirely rufous head and blackish nose hill",1,"Partial","Head,Pubis",3,"M: white patches below the eyes. F: white underparts and reduced white patches"
"galagonidae","euoticus","elegantulus",NA,0,NA,NA,NA,0,0,3,"more gray all over, look for more specific description, maybe rowe 608, dont think it actually has a natal coat",0,NA,NA,0,NA
"galagonidae","euoticus","pallidus",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
"galagonidae","sciurocheirus","alleni",NA,0,NA,NA,NA,0,0,1,NA,0,NA,NA,0,NA
