family,species,subspecies,Sexual_dimorphism,Sexual_Dimorph_type,Location,Direction,Natal_coat,Natal_Coat_Type,NC_description,Sexual_dichromatism,Sexual_dichromatism_type,Where,Darker,SDC_description,Size_Dimorphism,Simple_Natal_Coat_Type,Natal_Coat_Conspicuous,Natal_Coat_Inconspicuous,Natal_Coat_Present,Maturation_Color_Change,Maturation_Males_Only,Maturation_Females_Only,Maturation_Both,Maturation_None,Sexual_Dichromatism_Complete,Sexual_Dichromatism_Partial,Sexual_Dichromatism_Present,integrated_trait
cercopithecidae,Cercopithecus_solatus,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cheirogaleidae,Cheirogaleus_major,NA,0,NA,NA,NA,0,maybe,"c.m.major maybe incon treves 67, young said to be mouse grey hill",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cheirogaleidae,Cheirogaleus_medius,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Chiropotes_albinasus,NA,1,tufts on crown and beard much larger in males emmons,Head,M,0,no,"no treves 10, beard and tufts undeveloped, less white hairs on the nose hill",0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cebidae,Chiropotes_chiropotes,NA,0,NA,NA,NA,1,incon,"incon to both treves 10, general color more yellowish-brown than in males",0,NA,NA,NA,NA,0,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cebidae,Chiropotes_satanas,NA,1,tufts on crown and beard much larger in males emmons,Head,M,1,incon,"BM2008, incon to both treves 10, less dark, beard and tufts underdeveloped, nose unpigmented hill",1,Partial,Cape,M,females may have a more distinct brownish wash on their shoulders and upper backs hill,0,inconspicuous,0,1,1,None,0,0,0,1,0,1,1,0
cercopithecidae,Chlorocebus_aethiops,NA,0,NA,NA,NA,1,con to both,"primate palette, c.a.pygerythrus incon or con to both treves 30 (dark in color until 4 or 5 months gartland), c.a.sabaeus con to both treves 31, c.a.tantalus con to both (dark grey almost black hill), forehead first to change treves 31, c.a.hilgerti lacking red tuft on tail, hand and feet grey hill",0,Partial,NA,NA,c.a.zavattarii F: more reddish yellow than male hill,1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,2
cercopithecidae,Colobus_angolensis,NA,1,tail not tufted in females grueter 2015,Tail,F,1,con to both,"infants born white and change to gray and then black in the first six months groves, con to both treves 40",1,Partial,Pubis,F,"M: broad, oval white circumgenital mark F: narrow white perineal stripe groves",1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,5
cercopithecidae,Colobus_guereza,NA,0,NA,NA,NA,1,con to both,"born white then turns black by age 1 rowe 80, 602, c.g.kikuyensis con to both treves 21,36,40, in depth table in oates 1977",1,Partial,Pubis,F,M: an unbroken circle of white hair in the perineal region F: circle is broken into two patches oates 1977,1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,5
cercopithecidae,Colobus_polykomos,NA,0,NA,NA,NA,1,con to both,"white fur and pink skin oates, c.p.polykomos con to both treves 17,40-42, cant find treves 42, follows general black and white colobus pattern",0,NA,NA,NA,NA,1,conspicuous,1,0,1,Both,0,0,1,0,NA,NA,0,2
cercopithecidae,Colobus_satanas,NA,0,NA,NA,NA,1,incon,"infant coat is brown rowe 635, incon to both treves 40, oates 1994",0,NA,NA,NA,NA,1,inconspicuous,0,1,1,None,0,0,0,1,NA,NA,0,2
cercopithecidae,Colobus_vellerosus,NA,0,NA,NA,NA,1,con to both,"con to both treves 40, white coat oates",0,NA,NA,NA,NA,1,conspicuous,1,0,1,Both,0,0,1,0,NA,NA,0,2
daubentoniidae,Daubentonia_madagascariensis,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
cercopithecidae,Erythrocebus_patas,NA,0,NA,NA,NA,1,con to both,"infants are black until 3 months old rowe 346, incon or con to both treves 18, 36-38, palmer",1,Partial,Head,M,during pregnancy the facial hair of females turns white and then reverts back palmer,1,conspicuous,1,0,1,Both,0,0,1,0,0,1,1,5
lemuridae,Eulemur_coronatus,NA,0,NA,NA,NA,0,NA,NA,1,Partial,Head,M,"M: dark gray brown back and dark tail, v on head is orange and orange extends around the face and has black on the side. F: light gray",1,none,0,0,0,None,0,0,0,1,0,1,1,0
lemuridae,Eulemur_fulvus,e. fulvus fulvus is not as sexually dichromatic as other subspecies,1,females tend to have less fullness in the hair on their crown and beard,Head,M,1,con to mom,"infants are the color of adult males, no treves 68, e.f.rufus born with male color",1,Partial,Head,Varies,"head pattern in gender between sub-species vary rowe 580, table in cooper and hosey 2003 has all the subspecies",0,conspicuous,1,0,1,Females only,0,1,0,0,0,1,1,4
lemuridae,Eulemur_flavifrons,NA,1,males have a tuft of hair from the forehead to the back of the head mitt1994,Head,M,1,con to mom,"sexual dichrom in neonates treves 69,70, females must have white ear tuft, infants are brownish black, female tails turn reddish orange after week 4, males are black tailed",1,Complete,NA,M,"orange?? not explicitly described in rowe, females are paler than e.macaco macaco, rufus to tan back, white ventrum, reddish beard and dark extremities mitt1994",0,conspicuous,1,0,1,Females only,0,1,0,0,1,0,1,4
lemuridae,Eulemur_macaco,NA,1,long white ear tufts in females,Head,F,1,NA,"sex dichrom in neonates treves 67,70, e.m.sanfordi no treves 67, infants of both sex start black, females become more brightly colored hill, female infants have the white ear tuft colquhoun",1,Complete,NA,M,"M: all black. F: brown back, white underpants, gray head, long white ear tufts *rowe 580,  females range from light golden brown to dark chestnut brown tatterstall",0,none,0,0,0,None,0,0,0,1,1,0,1,0
lemuridae,Eulemur_mongoz,NA,0,NA,NA,NA,1,Con to dad,infants look like females up to a few months tattersall,1,Complete,NA,M,"M: gray brown back and red hair around the face. F: gray to brown back, white beard, and dark gray face",0,conspicuous,1,0,1,Males only,1,0,0,0,1,0,1,3
lemuridae,Eulemur_rubriventer,NA,0,NA,NA,NA,0,no,differ from adults in its entirely rufous head and blackish nose hill,1,Partial,"Head,Pubis",Varies,M: white patches below the eyes. F: white underparts and reduced white patches,0,none,0,0,0,None,0,0,0,1,0,1,1,0
galagonidae,Euoticus_elegantulus,NA,0,NA,NA,NA,0,no,"more gray all over, look for more specific description, maybe rowe 608, dont think it actually has a natal coat",0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
galagonidae,Euoticus_pallidus,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
galagonidae,Sciurocheirus_alleni,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
galagonidae,Galago_gallarum,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
galagonidae,Galago_matschiei,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
galagonidae,Galago_moholi,NA,0,NA,NA,NA,0,NA,no treves 67,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
galagonidae,Galago_senegalensis,NA,0,NA,NA,NA,0,NA,no treves 67,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
galagonidae,Galagoides_thomasi,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,none,0,0,0,None,0,0,0,1,NA,NA,0,1
galagonidae,Galagoides_zanzibaricus,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,none,0,0,0,None,0,0,0,1,NA,NA,0,1
