family,Genus,species,Sexual_dimorphism,Location,Direction,Natal_coat,Natal_Coat_Type,Sexual_dichromatism,Sexual_dichromatism_type,Where,Darker,Size_Dimorphism,DC_Body,DC_Head,DC_Multiple,DC_Cape,DC_Pubis,DC_Tail,DM_Head,DM_Body,DM_Pubis,DM_Tail,DM_Cape,DM_Mane,DM_Multiple,DM_All,DM_Male_Growth,DM_Female_Growth,DM_Both,DC_Male_Darker,DC_Female_Darker,DC_Varies,NC_incon,NC_con_mom,NC_con_dad,NC_con_both,conspicuous_coat,DC_Complete,DC_Partial
cercopithecidae,cercopithecus,erythrogaster,0,NA,NA,1,incon,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA
cercopithecidae,cercopithecus,erythrotis,1,Pubis,M,1,incon,1,Partial,Multiple,M,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
cercopithecidae,cercopithecus,hamlyni,0,NA,NA,1,con to both,1,Partial,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1
cercopithecidae,cercopithecus,lhoesti,0,NA,NA,1,incon,1,Partial,Pubis,F,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,1
cercopithecidae,cercopithecus,mitis,1,"Head,Body",F,1,incon,1,Partial,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,1,0,0,0,0,0,1
cercopithecidae,cercopithecus,mona,0,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cercopithecidae,cercopithecus,neglectus,0,NA,NA,1,incon,1,Partial,Pubis,M,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,1
cercopithecidae,cercopithecus,nictitans,1,Pubis,F,1,incon,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,1,0,0,0,0,NA,NA
cercopithecidae,cercopithecus,petaurista,0,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cercopithecidae,cercopithecus,pogonias,0,NA,NA,0,NA,1,Partial,Body,M,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,1
