Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate_gain[1]	rate_gain[2]	rate_gain_median	rate_gain_sd	rate_loss[1]	rate_loss[2]	rate_loss_median	rate_loss_sd	rf[1]	rf[2]	rf[3]	rf[4]	switch_fast_slow	switch_slow_fast
75	1	-64.31553	-75.82114	11.50561	0.00342679	0.0192846	0.008129219	1.280732	0.00393154	0.099282	0.01975679	2.393612	0.0803478	0.0452658	0.662779	0.211608	0.001503619	0.005581699
76	0	-68.692	-75.45174	6.75974	0.00598638	0.0240849	0.01200756	1.031964	0.00750451	0.123231	0.03041029	2.074571	0.375606	0.0856912	0.156861	0.381842	0.0037898	0.03138075
77	1	-64.90529	-75.11003	10.20474	0.00342679	0.0192846	0.008129219	1.280732	0.00257364	0.139217	0.0189287	2.958321	0.125411	0.205512	0.48418	0.184896	0.002341582	0.008104659
78	0	-70.06997	-75.22845	5.158479	0.00679153	0.0179743	0.01104867	0.7214851	0.00750451	0.123231	0.03041029	2.074571	0.450367	0.102747	0.188082	0.258804	0.005233656	0.0467849
79	1	-66.11698	-75.89565	9.778668	0.00265261	0.0249129	0.008129219	1.6604	0.00408907	0.112086	0.02140855	2.454408	0.125411	0.205512	0.48418	0.184896	0.004162994	0.008559998
80	0	-70.38963	-76.52136	6.131734	0.00679153	0.0179743	0.01104867	0.7214851	0.00550323	0.090368	0.02230059	2.074571	0.4091	0.202093	0.163638	0.225169	0.006082581	0.0467849
81	1	-65.34925	-76.01721	10.66796	0.00187947	0.0176518	0.005759858	1.6604	0.00590399	0.102378	0.02458538	2.114966	0.136408	0.223533	0.526636	0.113422	0.003983638	0.005608532
82	0	-69.96486	-76.16044	6.19558	0.00664515	0.0183703	0.01104867	0.7537897	0.00206858	0.102374	0.01455225	2.892384	0.4091	0.202093	0.163638	0.225169	0.007744907	0.04159773
83	1	-66.08614	-75.63493	9.548793	0.00447157	0.0285397	0.01129678	1.374044	0.00370808	0.148397	0.02345782	2.73494	0.398394	0.0333905	0.236956	0.33126	0.001762444	0.007532617
84	0	-73.27253	-75.31357	2.041044	0.00724061	0.015929	0.01073946	0.5844699	0.00130772	0.161936	0.01455225	3.572267	0.4091	0.202093	0.163638	0.225169	0.007855854	0.06630573
85	1	-65.25495	-75.48131	10.22637	0.00220717	0.0164219	0.006020456	1.487717	0.00374478	0.146943	0.02345782	2.720338	0.520385	0.0330232	0.161371	0.28522	0.00194039	0.006317845
86	0	-71.70935	-77.84008	6.130734	0.00462164	0.0101674	0.006854927	0.5844699	0.00422719	0.0932123	0.01985009	2.293099	0.229985	0.46788	0.0919928	0.210142	0.009487355	0.0489966
87	1	-64.52742	-75.99155	11.46413	0.00191294	0.0142327	0.005217886	1.487717	0.00217765	0.116805	0.01594867	2.952053	0.520385	0.0330232	0.161371	0.28522	0.001221052	0.003171906
88	0	-69.47076	-76.05554	6.584787	0.00510792	0.0154995	0.008897753	0.8228531	0.00565629	0.124725	0.02656088	2.293099	0.318978	0.261976	0.127589	0.291456	0.01087451	0.03244088
89	1	-64.90815	-76.00387	11.09572	0.00269428	0.0209719	0.007516925	1.521186	0.0043159	0.112623	0.02204695	2.417929	0.528007	0.0335068	0.243339	0.195147	0.001930721	0.003171906
90	0	-71.56926	-78.76222	7.192959	0.00544514	0.0145396	0.008897753	0.7280703	0.01019	0.0715903	0.0270094	1.445203	0.318978	0.261976	0.127589	0.291456	0.01713826	0.0331639
91	1	-65.44051	-77.35962	11.9191	0.00192316	0.0109803	0.004595308	1.291444	0.00850575	0.100991	0.02930882	1.834195	0.528007	0.0335068	0.243339	0.195147	0.002614761	0.00233645
92	0	-70.53857	-78.56278	8.024208	0.0046178	0.013105	0.007779224	0.7732322	0.0130981	0.0700314	0.03028662	1.242773	0.34634	0.284449	0.0527526	0.316458	0.01077556	0.0331639
93	1	-67.20859	-76.32399	9.115399	0.00244025	0.0139326	0.00583087	1.291444	0.0135454	0.160828	0.04667424	1.834195	0.528007	0.0335068	0.243339	0.195147	0.003677195	0.003589523
94	0	-68.63033	-76.28744	7.657118	0.00525406	0.0155514	0.009039248	0.8044235	0.00797319	0.115045	0.03028662	1.978713	0.254491	0.338507	0.205	0.202002	0.009759618	0.02591551
95	1	-66.75431	-76.63654	9.882222	0.00244025	0.0139326	0.00583087	1.291444	0.0107759	0.127946	0.03713137	1.834195	0.516884	0.203122	0.238213	0.0417814	0.005065726	0.006023123
96	0	-68.4378	-75.70899	7.271183	0.00667778	0.0229371	0.01237615	0.914744	0.00795782	0.139446	0.03331194	2.122732	0.153185	0.203757	0.123395	0.519663	0.009759618	0.01920225
97	1	-67.00178	-76.90707	9.905293	0.00479525	0.0273785	0.01145805	1.291444	0.00526568	0.111102	0.02418734	2.260404	0.516884	0.203122	0.238213	0.0417814	0.008139981	0.004680556
98	0	-67.10324	-76.88894	9.785695	0.00379248	0.0151638	0.007583427	1.027361	0.00831725	0.09447	0.02803089	1.801325	0.149749	0.199186	0.143057	0.508008	0.008689997	0.01423833
99	1	-66.55874	-77.07259	10.51384	0.00423824	0.0241983	0.0101271	1.291444	0.00876668	0.0965777	0.02909753	1.77867	0.543712	0.16786	0.245388	0.0430399	0.006138992	0.004680556
100	0	-67.30806	-77.46373	10.15567	0.00347914	0.0137269	0.006910694	1.017486	0.00579502	0.080581	0.02160945	1.951301	0.306333	0.162504	0.116711	0.414452	0.005688348	0.01979468
101	1	-66.98544	-76.64512	9.659685	0.00299602	0.0257378	0.008781284	1.594299	0.00858783	0.0985891	0.02909753	1.809231	0.594828	0.183641	0.174445	0.0470862	0.007548584	0.006754556
102	0	-68.72877	-77.13064	8.401865	0.00218694	0.0115603	0.005028081	1.234321	0.00521464	0.0895496	0.02160945	2.107759	0.306333	0.162504	0.116711	0.414452	0.004713963	0.03099463
103	1	-67.9632	-75.53634	7.573138	0.00355677	0.02168	0.008781284	1.339931	0.0167838	0.112076	0.04337111	1.407553	0.340224	0.105037	0.0997773	0.454961	0.007548584	0.01637933
104	0	-72.56041	-77.14656	4.586149	0.00280015	0.00902866	0.005028081	0.8678649	0.0085571	0.146949	0.03546065	2.107759	0.394494	0.282889	0.203172	0.119444	0.006348101	0.04862987
105	1	-71.72993	-78.52721	6.797283	0.00251414	0.0422446	0.01030576	2.091616	0.0103565	0.0712593	0.02716608	1.429757	0.327879	0.117909	0.153205	0.401008	0.007548584	0.02701927
106	0	-71.33031	-74.94588	3.615572	0.00327417	0.0197209	0.008035535	1.331092	0.00939739	0.133809	0.03546065	1.968884	0.437093	0.313436	0.147022	0.10245	0.006462037	0.04862987
107	1	-67.56641	-76.37717	8.810758	0.00617484	0.0172002	0.01030576	0.7594182	0.0130337	0.0896804	0.03418871	1.429757	0.479439	0.141339	0.224023	0.155199	0.002424316	0.02701927
108	0	-71.15133	-76.97085	5.819515	0.00212381	0.0127921	0.00521228	1.331092	0.00735293	0.0891254	0.02559947	1.849506	0.191842	0.132309	0.538065	0.137783	0.009031177	0.04381921
109	1	-67.55935	-75.24341	7.684056	0.00529318	0.0177674	0.009697727	0.8976738	0.00572357	0.119252	0.02612562	2.251069	0.479439	0.141339	0.224023	0.155199	0.002424316	0.03190901
110	0	-69.63802	-78.56008	8.92206	0.00398874	0.0139116	0.007449135	0.9260654	0.00372489	0.0686501	0.01599106	2.160142	0.208266	0.0580249	0.58413	0.149579	0.01143983	0.02683499
111	1	-65.81104	-75.49204	9.680993	0.00365949	0.0217858	0.008928888	1.322435	0.00564848	0.120837	0.02612562	2.27065	0.479439	0.141339	0.224023	0.155199	0.002424316	0.01213674
112	0	-69.23202	-78.24435	9.012332	0.00481314	0.0151884	0.008550072	0.8518877	0.00545012	0.0723732	0.01986057	1.917152	0.323042	0.0245618	0.519394	0.133002	0.01260482	0.02405426
113	1	-66.21086	-75.57088	9.360021	0.00449011	0.0177557	0.008928888	1.019164	0.00457204	0.149287	0.02612562	2.584112	0.268473	0.337079	0.125447	0.269001	0.003437131	0.01338905
114	0	-69.54535	-79.02853	9.483182	0.00361762	0.00952605	0.005870404	0.7177384	0.00693632	0.0873084	0.02460893	1.877475	0.239111	0.0266295	0.573793	0.160466	0.01260482	0.02068055
115	1	-70.50103	-77.58939	7.088355	0.0100591	0.0397778	0.02000321	1.019164	0.00588549	0.192175	0.03363096	2.584112	0.345339	0.30166	0.112266	0.240736	0.001804793	0.01338905
116	0	-71.52984	-79.26223	7.732388	0.00299816	0.0111884	0.005791767	0.9762024	0.00841167	0.0719952	0.02460893	1.591559	0.391056	0.0435514	0.302958	0.262435	0.0156496	0.03112452
117	1	-71.74471	-77.65694	5.912227	0.0104593	0.0382558	0.02000321	0.9613233	0.00349372	0.231459	0.02843679	3.108598	0.309087	0.226214	0.335799	0.128901	0.00461922	0.01861645
118	0	-69.95009	-76.44117	6.491076	0.00412726	0.0154019	0.007972924	0.9762024	0.012779	0.109375	0.03738591	1.591559	0.136358	0.0974302	0.179112	0.5871	0.01443746	0.0266391
119	1	-70.03547	-77.92075	7.885285	0.0109404	0.0353526	0.01966653	0.869477	0.00186996	0.123885	0.01522034	3.108598	0.288739	0.211322	0.313693	0.186246	0.00461922	0.01861645
120	0	-69.29388	-76.93541	7.641524	0.00446418	0.0166592	0.00862379	0.9762024	0.0192867	0.108226	0.04568731	1.278603	0.148974	0.145175	0.195684	0.510167	0.0167932	0.01072308
121	1	-69.81171	-78.10739	8.295673	0.0109404	0.0353526	0.01966653	0.869477	0.00185584	0.122949	0.01510544	3.108598	0.357769	0.261843	0.149615	0.230773	0.006082145	0.0142068
122	0	-70.56393	-78.17149	7.607555	0.00574088	0.0129544	0.00862379	0.6032886	0.0211873	0.118892	0.05018964	1.278603	0.0451603	0.620671	0.0713551	0.262814	0.01704932	0.01095422
123	1	-69.39772	-78.88768	9.489957	0.0132406	0.0292112	0.01966653	0.5865661	0.001399	0.0926836	0.01138702	3.108598	0.184639	0.0966345	0.075507	0.64322	0.007496797	0.01119394
124	0	-71.39762	-77.57153	6.173906	0.00641767	0.0244384	0.01252348	0.991194	0.0153843	0.0863282	0.03644312	1.278603	0.0436903	0.600467	0.101584	0.254259	0.01704932	0.02656994
125	1	-67.06131	-76.06978	9.00847	0.00518216	0.0186921	0.009842027	0.9509995	0.000889891	0.178698	0.01261039	3.930642	0.177178	0.0927296	0.112864	0.617228	0.007496797	0.008318317
126	0	-71.44043	-76.42045	4.980018	0.00520939	0.0224315	0.01080993	1.082302	0.0176508	0.141901	0.05004662	1.545127	0.045907	0.630933	0.0561467	0.267013	0.01978555	0.01630846
127	1	-67.64586	-76.6935	9.047634	0.00518216	0.0186921	0.009842027	0.9509995	0.00106713	0.214289	0.01512196	3.930642	0.181294	0.0948838	0.0922553	0.631567	0.004939517	0.008071851
128	0	-70.96575	-77.23249	6.266746	0.00520939	0.0224315	0.01080993	1.082302	0.0210674	0.0917937	0.04397562	1.091059	0.045907	0.630933	0.0561467	0.267013	0.02033904	0.01799343
129	1	-67.25211	-78.9673	11.71519	0.00702645	0.0211996	0.01220485	0.81862	0.00362295	0.0662577	0.0154935	2.154416	0.0918046	0.0306434	0.111849	0.765703	0.008392228	0.006224148
130	0	-72.21324	-76.85016	4.636915	0.00409607	0.0176376	0.00849969	1.082302	0.024156	0.105251	0.05042259	1.091059	0.0722576	0.419089	0.0883749	0.420279	0.023377	0.02297779
131	1	-65.59792	-75.84773	10.24981	0.00661189	0.0199488	0.01148475	0.81862	0.00157806	0.132379	0.01445342	3.283573	0.0977992	0.0326444	0.0538552	0.815701	0.007968358	0.004999582
132	0	-70.62306	-78.14722	7.524163	0.00266483	0.0205593	0.007401819	1.514607	0.0171567	0.0747544	0.03581258	1.091059	0.0729465	0.423084	0.0796835	0.424286	0.02107317	0.01395927
133	1	-65.72461	-76.41099	10.68639	0.00944957	0.0196171	0.01361517	0.5414692	0.00115383	0.118582	0.01169715	3.434096	0.0977242	0.042653	0.0445468	0.815076	0.007968358	0.003976656
