Iteration	Posterior	Likelihood	Prior	rate_gain[1]	rate_gain[2]	rate_gain_median	rate_gain_sd	rate_loss[1]	rate_loss[2]	rate_loss_median	rate_loss_sd	rf[1]	rf[2]	rf[3]	rf[4]	switch_fast_slow	switch_slow_fast
91	-68.2628	-80.03389	11.77109	0.00254795	0.0155688	0.00629829	1.34174	0.0122485	0.0482267	0.02430442	1.01596	0.0965557	0.13473	0.563544	0.20517	0.00516482	0.01394519
92	-67.87587	-80.40319	12.52731	0.00254795	0.0155688	0.00629829	1.34174	0.0121362	0.0477844	0.0240815	1.01596	0.100582	0.105655	0.587045	0.206717	0.008109199	0.005582077
93	-68.87235	-81.20526	12.3329	0.00354865	0.0277907	0.009930732	1.525697	0.0139893	0.0414543	0.0240815	0.8052739	0.0797722	0.0837952	0.672484	0.163948	0.00708736	0.004761325
94	-68.39229	-79.46666	11.07438	0.00354865	0.0277907	0.009930732	1.525697	0.0200089	0.0592919	0.03444362	0.8052739	0.0314013	0.364062	0.336127	0.268409	0.003063713	0.007811832
95	-67.35447	-78.59273	11.23826	0.00327386	0.0221112	0.008508166	1.41597	0.0239777	0.0651176	0.03951422	0.7406109	0.0635371	0.351983	0.324975	0.259504	0.003632454	0.004587313
96	-67.52035	-80.31452	12.79416	0.00254423	0.00977024	0.004985751	0.9974313	0.0262651	0.0594467	0.03951422	0.605523	0.0429058	0.449847	0.157587	0.349661	0.002799965	0.004365959
97	-67.80318	-76.3067	8.503522	0.00328103	0.0193583	0.007969626	1.315782	0.0435254	0.0991465	0.06569162	0.6102787	0.046947	0.492217	0.172429	0.288407	0.003389291	0.002521274
98	-66.63157	-76.05457	9.423005	0.00447275	0.0142004	0.007969626	0.8564032	0.0435254	0.0991465	0.06569162	0.6102787	0.0828064	0.150691	0.53933	0.227173	0.002256205	0.002629048
99	-67.1879	-76.43947	9.251574	0.00538776	0.0117887	0.007969626	0.5804505	0.037624	0.114698	0.06569162	0.8262957	0.0790456	0.188249	0.51585	0.216856	0.004150847	0.002774544
100	-65.95185	-75.66791	9.716057	0.00900772	0.0169773	0.01236636	0.4698325	0.0284118	0.116541	0.05754242	1.046301	0.0894271	0.081637	0.583599	0.245337	0.004109263	0.001714152
101	-66.08256	-75.20193	9.119371	0.00967926	0.018243	0.01328828	0.4698325	0.0218954	0.145332	0.05640999	1.403092	0.00401944	0.0198924	0.928874	0.0472144	0.004109263	0.001844704
102	-64.46464	-76.55388	12.08924	0.010816	0.0204918	0.01488753	0.4736938	0.0135771	0.0901188	0.03497934	1.403092	0.00276755	0.0199174	0.930041	0.0472737	0.00173547	0.001844704
103	-64.24702	-75.62072	11.3737	0.00993489	0.015153	0.01226962	0.3129381	0.00873369	0.12845	0.03349396	1.99288	0.0254871	0.183424	0.355733	0.435356	0.00308646	0.00448627
104	-64.78685	-76.80563	12.01879	0.00898815	0.013709	0.0111004	0.3129381	0.0107115	0.100447	0.03280149	1.659265	0.0313348	0.245677	0.368981	0.354007	0.004859679	0.003999257
105	-66.33066	-76.65606	10.3254	0.00870638	0.0159479	0.01178341	0.4486898	0.00450232	0.174517	0.02803092	2.711256	0.0313348	0.245677	0.368981	0.354007	0.007253875	0.003240941
106	-64.88839	-76.49619	11.60781	0.0100558	0.0156839	0.01255843	0.3294941	0.00526141	0.123963	0.02553859	2.342201	0.0234927	0.184192	0.463319	0.328996	0.007253875	0.001592094
107	-65.31825	-76.79247	11.47422	0.0125191	0.0168995	0.01454531	0.2224118	0.00526141	0.123963	0.02553859	2.342201	0.0103831	0.27415	0.483807	0.23166	0.007870432	0.001345273
108	-66.54569	-78.737	12.19131	0.0146632	0.0210377	0.01756361	0.26759	0.00811641	0.0803581	0.02553859	1.69951	0.0413325	0.265576	0.468677	0.224415	0.007095186	0.001341149
109	-66.83212	-80.50125	13.66913	0.0111232	0.0169359	0.01372524	0.3116415	0.0116008	0.056222	0.02553859	1.169947	0.0758656	0.487464	0.0247576	0.411913	0.00457943	0.002836512
110	-68.09127	-80.95806	12.86679	0.0140451	0.0210866	0.01720942	0.3012379	0.0202422	0.0562739	0.0337507	0.7579511	0.0758656	0.487464	0.0247576	0.411913	0.00457943	0.002490589
111	-68.62325	-81.31162	12.68837	0.0132122	0.0234289	0.01759394	0.4246382	0.0216439	0.0526296	0.0337507	0.6586859	0.142478	0.200245	0.0464954	0.610782	0.005219467	0.002490589
112	-66.10308	-77.09455	10.99147	0.0120538	0.0213746	0.01605132	0.4246382	0.0147564	0.0981457	0.03805624	1.404599	0.137178	0.192796	0.0819638	0.588062	0.005219467	0.002913619
113	-65.75206	-79.02554	13.27348	0.00979871	0.0161148	0.01256598	0.368787	0.0101275	0.0673584	0.02611838	1.404599	0.133531	0.370938	0.157698	0.337833	0.004328192	0.002912953
114	-65.63921	-78.52719	12.88798	0.00692214	0.0150751	0.01021526	0.5769669	0.0101275	0.0673584	0.02611838	1.404599	0.184325	0.131649	0.217684	0.466341	0.004328192	0.005495595
115	-67.67359	-81.69759	14.02401	0.0036582	0.00952273	0.00590221	0.7092091	0.00817875	0.0485441	0.01992561	1.320208	0.14279	0.101984	0.306888	0.448338	0.004328192	0.006918619
116	-67.5414	-80.15671	12.61531	0.00250494	0.013907	0.00590221	1.270684	0.00903164	0.0536063	0.02200349	1.320208	0.554176	0.0393037	0.233734	0.172786	0.006029655	0.006517614
117	-68.3588	-79.31123	10.95242	0.00267554	0.0130202	0.00590221	1.173	0.0203887	0.0732692	0.03865051	0.9482439	0.776111	0.136818	0.0549483	0.0321227	0.007753009	0.006517614
118	-68.00569	-78.0401	10.03441	0.00707137	0.0314884	0.01492201	1.107182	0.0202182	0.0738869	0.03865051	0.9606899	0.77349	0.136356	0.05814	0.0320142	0.006259692	0.006517614
119	-68.34843	-78.37583	10.02741	0.0045629	0.0401039	0.01352737	1.611229	0.00811318	0.063686	0.02273095	1.527433	0.435313	0.0406861	0.505983	0.0180173	0.007803893	0.008740371
120	-69.06056	-76.2265	7.165935	0.00181026	0.0432944	0.008852925	2.353298	0.00886508	0.122218	0.0329161	1.94494	0.555361	0.0320366	0.398416	0.014187	0.01213357	0.005520321
121	-71.17294	-77.59154	6.418594	0.00194004	0.0344046	0.008169841	2.131597	0.00894907	0.121071	0.0329161	1.930959	0.707027	0.0407856	0.234126	0.0180614	0.02425694	0.002648691
122	-70.62953	-78.60432	7.974787	0.00410879	0.0162448	0.008169841	1.019024	0.00894907	0.121071	0.0329161	1.930959	0.469149	0.0872145	0.274994	0.168643	0.02425694	0.005169179
123	-69.05926	-79.10791	10.04865	0.0050859	0.024091	0.01106907	1.152993	0.00186564	0.0707135	0.01148591	2.694653	0.469149	0.0872145	0.274994	0.168643	0.01622444	0.004860266
124	-70.61973	-81.12293	10.5032	0.00466504	0.0284044	0.0115112	1.339122	0.00252594	0.0382744	0.009832544	2.014982	0.294804	0.115858	0.365309	0.224029	0.01322614	0.01194694
125	-69.36394	-79.20758	9.843646	0.00307168	0.017608	0.007354336	1.294407	0.00671424	0.0573391	0.01962111	1.589907	0.307885	0.120999	0.381518	0.189598	0.01316601	0.01726236
126	-70.13332	-81.28151	11.14819	0.00680148	0.0192963	0.01145617	0.7730101	0.00423188	0.043234	0.0135263	1.722769	0.30051	0.1181	0.372378	0.209012	0.01036129	0.01726236
127	-66.0325	-77.60912	11.57662	0.00722648	0.0181615	0.01145617	0.6831474	0.00489554	0.0798862	0.01977591	2.069919	0.30051	0.1181	0.372378	0.209012	0.005165696	0.009744441
128	-64.30511	-75.60497	11.29986	0.00843749	0.0155548	0.01145617	0.4534437	0.00326516	0.119776	0.01977591	2.670397	0.333897	0.0201193	0.41375	0.232233	0.002027514	0.01023829
129	-65.62673	-77.84317	12.21644	0.00970461	0.0185536	0.01341849	0.4804115	0.00194673	0.0714119	0.01179066	2.670397	0.0915554	0.0774911	0.7436	0.0873536	0.001512586	0.00959571
130	-64.52489	-75.59209	11.0672	0.00652217	0.0124693	0.009018159	0.4804115	0.00112492	0.123582	0.01179066	3.483515	0.0915554	0.0774911	0.7436	0.0873536	0.0009302512	0.01282511
131	-65.59287	-76.1161	10.52323	0.00371056	0.0141866	0.007255368	0.99417	0.000844289	0.092752	0.008849265	3.483515	0.0915554	0.0774911	0.7436	0.0873536	0.0007819584	0.01521079
132	-66.84269	-77.4444	10.60171	0.00270894	0.0194321	0.007255368	1.460635	0.00106458	0.0735589	0.008849265	3.139784	0.0700731	0.0593088	0.569124	0.301494	0.000924826	0.01292368
133	-65.9984	-75.28635	9.287951	0.00218906	0.0157028	0.005862954	1.460635	0.000301278	0.110835	0.005778588	4.379429	0.099398	0.0574386	0.551177	0.291987	0.0006349091	0.01173368
134	-67.03431	-76.41667	9.382362	0.00195959	0.010305	0.004493737	1.230483	0.000301928	0.110596	0.005778588	4.376235	0.213882	0.050137	0.481112	0.25487	0.0005968748	0.01540019
135	-66.35196	-76.27778	9.925822	0.00293621	0.0157004	0.00678967	1.242839	0.000243742	0.0892827	0.004664973	4.376235	0.213882	0.050137	0.481112	0.25487	0.0007333536	0.009870092
136	-64.84728	-75.02883	10.18155	0.00289889	0.0155008	0.006703363	1.242839	0.000538403	0.126164	0.00824178	4.045078	0.0945618	0.057747	0.554137	0.293555	0.0007772529	0.008633694
