Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
77	1	-230.3854	-227.1562	-3.22918	1	0	1	1	0.02523854	0.02523854	0.003120577	0.04373137	0.07840819	0.07840819	0.04898358	0.04898358	0.328757	0.151213	0.323168	0.196862
78	0	-235.2841	-225.8731	-9.410986	0	0	1	1	0.0247537	0.01184843	0.008624786	0.01794428	0.1189183	0.1189183	0.1000527	0.1000527	0.0129646	0.236808	0.317835	0.432392
79	1	-228.7859	-232.8012	4.015236	0	0	1	1	0.01552278	0.008672936	0.00429079	0.04319944	0.07840819	0.07840819	0.03188431	0.03188431	0.429776	0.144534	0.243932	0.181758
80	0	-236.2715	-230.9246	-5.346903	1	0	1	0	0.0293019	0.0293019	0.007246216	0.01822009	0.1401012	0.1401012	0.05589174	0.001061784	0.0114197	0.208589	0.399126	0.380865
81	1	-228.3819	-232.0619	3.679972	0	0	1	1	0.01552278	0.007437961	0.00184717	0.04319944	0.07840819	0.07840819	0.03806408	0.03806408	0.193054	0.287028	0.234127	0.285791
82	0	-235.4125	-226.1443	-9.268249	1	0	1	1	0.02380978	0.02380978	0.006030619	0.02768019	0.149206	0.149206	0.03780896	0.03780896	0.0114197	0.208589	0.399126	0.380865
83	1	-231.5821	-230.0484	-1.533704	1	0	1	1	0.01602907	0.01602907	0.001410073	0.04357225	0.07840819	0.07840819	0.0474139	0.0474139	0.193054	0.287028	0.234127	0.285791
84	0	-230.1522	-226.9238	-3.228479	1	0	1	1	0.02380978	0.02380978	0.003270153	0.04162504	0.08179121	0.08179121	0.04898083	0.04898083	0.0131738	0.240629	0.30683	0.439367
85	1	-229.6855	-229.4979	-0.1875816	1	0	1	0	0.02029265	0.02029265	0.001308945	0.04357225	0.08197918	0.08197918	0.04090893	0.0252708	0.15324	0.288856	0.185842	0.372062
86	0	-231.3821	-228.8069	-2.575199	1	0	1	1	0.03914325	0.03914325	0.003270153	0.03581534	0.07654148	0.07654148	0.03983313	0.03983313	0.0178571	0.326173	0.0604068	0.595563
87	1	-228.1027	-225.187	-2.915686	0	0	1	1	0.02231477	0.01298954	0.00147524	0.04754385	0.1084529	0.1084529	0.04090893	0.04090893	0.176053	0.331858	0.0646393	0.42745
88	0	-231.3589	-234.0596	2.700764	1	0	1	1	0.01827754	0.01827754	0.002554527	0.03581534	0.07654148	0.07654148	0.02205416	0.02205416	0.0242998	0.08306	0.0822012	0.810439
89	1	-229.6319	-228.8133	-0.8186073	1	0	1	1	0.02969135	0.02969135	0.00110488	0.03044392	0.07934956	0.07934956	0.04090893	0.04090893	0.176053	0.331858	0.0646393	0.42745
90	0	-231.4818	-228.1781	-3.303651	1	0	1	1	0.02447245	0.02447245	0.004816249	0.03581534	0.113916	0.113916	0.02101778	0.02101778	0.0151703	0.168091	0.166353	0.650386
91	1	-228.6091	-235.0467	6.437554	0	0	1	1	0.0254393	0.001682858	0.001536357	0.02171577	0.07934956	0.07934956	0.03418337	0.03418337	0.0632431	0.353261	0.0576837	0.525812
92	0	-230.5359	-225.9766	-4.559264	1	0	1	1	0.02743605	0.02743605	0.004816249	0.02994827	0.1157347	0.1157347	0.0314698	0.0314698	0.0151703	0.168091	0.166353	0.650386
93	1	-229.5696	-225.8769	-3.692676	1	0	1	1	0.02851664	0.02851664	0.002329491	0.02479854	0.112451	0.112451	0.03484441	0.03484441	0.0632431	0.353261	0.0576837	0.525812
94	0	-230.7442	-229.3992	-1.344982	1	0	1	1	0.03085527	0.03085527	0.004816249	0.0376763	0.08066852	0.08066852	0.03140921	0.03140921	0.015427	0.154017	0.169167	0.661389
95	1	-229.7772	-229.8374	0.06025086	1	0	1	1	0.02839096	0.02839096	0.001468144	0.02149268	0.0887459	0.0887459	0.03484441	0.03484441	0.044489	0.248505	0.0895686	0.617438
96	0	-229.8219	-228.256	-1.565848	1	0	1	1	0.03085527	0.03085527	0.003968673	0.02842097	0.08324488	0.08324488	0.04058348	0.04058348	0.015427	0.154017	0.169167	0.661389
97	1	-232.5952	-233.8526	1.257409	1	0	1	1	0.02483749	0.02483749	0.0006549897	0.01346912	0.0887459	0.0887459	0.03830342	0.03830342	0.0187717	0.682914	0.0377925	0.260521
98	0	-231.48	-229.1509	-2.329086	0	0	1	1	0.02517832	0.04837659	0.003968673	0.02059046	0.1070669	0.1070669	0.02412816	0.02412816	0.0162891	0.162624	0.122736	0.698351
99	1	-231.0668	-235.6372	4.570403	0	0	1	1	0.02477835	0.002286152	0.0008347464	0.01346912	0.0887459	0.0887459	0.04772247	0.04772247	0.0324599	0.285562	0.015803	0.666176
100	0	-231.0136	-228.2697	-2.743931	1	0	1	1	0.03642069	0.03642069	0.0035964	0.02059046	0.1070669	0.1070669	0.02818775	0.02818775	0.0135471	0.135248	0.270412	0.580793
101	1	-233.0086	-229.6921	-3.316512	1	0	1	1	0.01967568	0.01967568	0.0008071179	0.01676789	0.1177681	0.1177681	0.04511501	0.04511501	0.0895534	0.787834	0.0435987	0.0790143
102	0	-230.7572	-226.6721	-4.085039	1	0	1	1	0.02687996	0.02687996	0.003221631	0.02013862	0.1165638	0.1165638	0.03906322	0.03906322	0.0303498	0.280478	0.605812	0.0833604
