Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]
233	1	-85.54774	-87.10745	1.559713	0.02490584	0.0249058	0.0249058
234	0	-84.65073	-87.6424	2.991672	0.01422298	0.014223	0.014223
235	1	-84.79571	-87.87186	3.07615	0.01359274	0.0135927	0.0135927
236	0	-84.65073	-87.6424	2.991672	0.01422298	0.014223	0.014223
237	1	-84.68662	-87.70124	3.014611	0.01405185	0.0140518	0.0140518
238	0	-84.5942	-86.77301	2.178809	0.02028718	0.0202872	0.0202872
239	1	-85.37953	-88.68176	3.302232	0.0119061	0.0119061	0.0119061
240	0	-84.38024	-86.89135	2.511104	0.01780817	0.0178082	0.0178082
241	1	-84.50007	-87.36994	2.869873	0.01513164	0.0151316	0.0151316
242	0	-84.49358	-87.35671	2.863132	0.01518193	0.0151819	0.0151819
243	1	-84.55661	-86.77392	2.217315	0.01999992	0.0199999	0.0199999
244	0	-85.18577	-88.42527	3.239501	0.0123741	0.0123741	0.0123741
245	1	-84.51982	-87.40913	2.889307	0.01498665	0.0149867	0.0149867
246	0	-85.18577	-88.42527	3.239501	0.0123741	0.0123741	0.0123741
247	1	-84.80067	-86.80487	2.004198	0.02158984	0.0215898	0.0215898
248	0	-85.13233	-88.35288	3.220547	0.0125155	0.0125155	0.0125155
249	1	-84.38851	-87.08592	2.697415	0.01641823	0.0164182	0.0164182
250	0	-84.38679	-87.079	2.692206	0.01645709	0.0164571	0.0164571
251	1	-85.00279	-86.86817	1.865384	0.02262543	0.0226254	0.0226254
252	0	-84.67891	-86.78014	2.101226	0.02086598	0.020866	0.020866
253	1	-84.50891	-87.38768	2.878764	0.01506531	0.0150653	0.0150653
254	0	-85.09001	-86.90114	1.811133	0.02303016	0.0230302	0.0230302
255	1	-84.4865	-86.78645	2.299952	0.01938342	0.0193834	0.0193834
256	0	-85.3474	-87.01159	1.664193	0.02412638	0.0241264	0.0241264
257	1	-84.39439	-87.10793	2.713538	0.01629794	0.0162979	0.0162979
258	0	-84.43324	-87.22104	2.787803	0.0157439	0.0157439	0.0157439
259	1	-85.84093	-87.2586	1.417674	0.02596549	0.0259655	0.0259655
260	0	-84.46602	-86.79419	2.328174	0.01917288	0.0191729	0.0191729
261	1	-86.79618	-87.80607	1.009882	0.02900774	0.0290077	0.0290077
262	0	-84.44314	-86.80639	2.363247	0.01891122	0.0189112	0.0189112
263	1	-85.37743	-87.02549	1.64806	0.02424674	0.0242467	0.0242467
264	0	-84.37093	-86.95718	2.586255	0.01724751	0.0172475	0.0172475
265	1	-87.856	-88.46851	0.6125111	0.03197225	0.0319723	0.0319723
266	0	-84.42751	-87.20636	2.778859	0.01581063	0.0158106	0.0158106
267	1	-84.98715	-86.86257	1.875413	0.02255061	0.0225506	0.0225506
268	0	-84.42751	-87.20636	2.778859	0.01581063	0.0158106	0.0158106
269	1	-87.4456	-88.20723	0.7616335	0.03085975	0.0308598	0.0308598
270	0	-84.37089	-86.96289	2.591998	0.01720467	0.0172047	0.0172047
271	1	-84.58562	-86.77295	2.187332	0.0202236	0.0202236	0.0202236
