Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
61	-230.482	-224.4484	-6.033612	1	0	1	1	0.02317056	0.02317056	0.0007282596	0.03799732	0.09727469	0.09727469	0.06123335	0.06123335	0.261925	0.123129	0.289708	0.325239
62	-229.9935	-226.4946	-3.498949	1	0	1	1	0.02902617	0.02902617	0.0004865204	0.02560335	0.09727469	0.09727469	0.04910407	0.04910407	0.261925	0.123129	0.289708	0.325239
63	-230.5575	-229.1906	-1.366888	1	0	1	1	0.01891102	0.01891102	0.000654717	0.02483172	0.09727469	0.09727469	0.04391684	0.04391684	0.25917	0.155387	0.365609	0.219834
64	-229.0743	-227.2542	-1.820053	1	0	1	1	0.02790858	0.02790858	0.001761791	0.02505355	0.09727469	0.09727469	0.03697111	0.03697111	0.176608	0.105887	0.24914	0.468364
65	-227.8675	-224.833	-3.034504	0	0	1	1	0.02790858	0.01334371	0.001761791	0.03515139	0.09333446	0.09333446	0.06307175	0.06307175	0.164178	0.0388253	0.61106	0.185936
66	-229.0958	-224.0625	-5.03331	1	0	1	1	0.02790858	0.02790858	0.002122032	0.03432971	0.106254	0.106254	0.04232731	0.04232731	0.164178	0.0388253	0.61106	0.185936
67	-230.3439	-222.1429	-8.200981	1	0	1	1	0.02790858	0.02790858	0.00319876	0.03727247	0.1178468	0.1178468	0.05034677	0.05034677	0.191818	0.0453616	0.545582	0.217239
68	-229.4346	-230.1706	0.7360188	1	0	1	1	0.02640296	0.02640296	0.002670491	0.02555117	0.08265353	0.08265353	0.0326225	0.0326225	0.234874	0.0429449	0.516515	0.205665
69	-229.1662	-228.9296	-0.2365893	1	0	1	1	0.02615989	0.02615989	0.002770977	0.02624074	0.08967009	0.08967009	0.03231491	0.03231491	0.186013	0.0340111	0.617095	0.162881
70	-232.7442	-231.6525	-1.091738	1	0	1	1	0.03527486	0.03527486	0.002763519	0.03182449	0.06291229	0.06291229	0.05076112	0.05076112	0.566831	0.0168725	0.306133	0.110164
71	-234.4447	-230.6078	-3.836915	1	0	1	1	0.03527486	0.03527486	0.002763519	0.05230435	0.06291229	0.06291229	0.05076112	0.05076112	0.200694	0.0101434	0.517479	0.271683
72	-232.0151	-236.0184	4.003321	1	0	1	1	0.02211971	0.02211971	0.002763519	0.03227874	0.06291229	0.06291229	0.02545131	0.02545131	0.198913	0.0100534	0.521763	0.269271
73	-235.2247	-239.654	4.429224	1	0	1	1	0.01441177	0.01441177	0.005963801	0.03758053	0.06291229	0.06291229	0.02147981	0.02147981	0.191424	0.00967494	0.50212	0.29678
74	-233.089	-236.2325	3.143458	1	0	1	1	0.02745418	0.02745418	0.003705689	0.03758053	0.06291229	0.06291229	0.02028773	0.02028773	0.186022	0.00242847	0.257139	0.554411
75	-233.4325	-238.1184	4.685963	1	0	1	1	0.02606153	0.02606153	0.002800639	0.03758053	0.06291229	0.06291229	0.01107786	0.01107786	0.441432	0.00182337	0.0721674	0.484577
76	-231.1625	-236.8959	5.733409	0	0	1	1	0.0318927	0.0146625	0.00440026	0.03758053	0.07010518	0.07010518	0.01051918	0.01051918	0.806025	0.00332935	0.131773	0.0588728
77	-230.8933	-232.3385	1.445243	0	0	1	1	0.0318927	0.0264607	0.005398571	0.03738804	0.09022258	0.09022258	0.009788793	0.009788793	0.807413	0.00161295	0.132	0.0589742
78	-230.3758	-233.5887	3.212944	0	0	1	1	0.01913982	0.0264607	0.004963859	0.03738804	0.09022258	0.09022258	0.009788793	0.009788793	0.632174	0.00373728	0.317914	0.0461746
79	-232.5931	-230.08	-2.513118	1	0	1	1	0.02410361	0.02410361	0.003245587	0.04683074	0.1120597	0.1120597	0.007900605	0.007900605	0.753524	0.00445468	0.186983	0.0550381
80	-229.2325	-236.352	7.119491	0	0	1	1	0.02410361	0.01646707	0.003245587	0.03144535	0.07408556	0.07408556	0.009472574	0.009472574	0.849861	0.00833149	0.0797324	0.0620747
81	-233.4313	-230.0469	-3.384419	1	0	1	1	0.02982042	0.02982042	0.003486463	0.05119012	0.1058853	0.1058853	0.01025804	0.01025804	0.191883	0.0253883	0.593571	0.189158
82	-228.8393	-230.5798	1.740428	1	0	1	0	0.02806413	0.02806413	0.003486463	0.04542675	0.09784998	0.09784998	0.01025804	0.01386386	0.20633	0.0272999	0.562969	0.203401
83	-229.1673	-234.0698	4.902558	0	0	1	1	0.03341214	0.002434608	0.002927403	0.02781144	0.09784998	0.09784998	0.01092318	0.01092318	0.488966	0.0175781	0.362489	0.130967
84	-231.6037	-234.0306	2.426866	1	0	1	0	0.03341214	0.03341214	0.004087427	0.02322552	0.07182923	0.07182923	0.01514411	0.04612976	0.542169	0.00257004	0.401931	0.0533299
85	-234.7295	-239.1982	4.468713	1	0	1	1	0.02780845	0.02780845	0.004921585	0.03721622	0.06222589	0.06222589	0.009881453	0.009881453	0.541798	0.00325275	0.401656	0.0532934
86	-230.2313	-238.3918	8.160418	0	0	1	0	0.02549058	0.0317476	0.00433328	0.04318549	0.06194956	0.06194956	0.009881453	0.01100793	0.542201	0.00325517	0.401954	0.0525892
87	-235.3824	-238.8934	3.510957	1	0	1	1	0.02736899	0.02736899	0.004358244	0.04537401	0.06179023	0.06179023	0.01030728	0.01030728	0.397967	0.00297704	0.367611	0.231445
