Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rf[1]	rf[2]
157	-79.80803	-79.10429	-0.7037329	0.0197949	0.0585387	0.834728	0.165272
158	-80.67477	-79.91094	-0.7638359	0.0220456	0.0567364	0.298978	0.701022
159	-80.66875	-79.90491	-0.7638359	0.0220456	0.0567364	0.348663	0.651337
160	-80.62208	-80.51156	-0.1105227	0.0220456	0.0518625	0.960238	0.0397622
161	-81.41378	-78.64612	-2.767665	0.0234849	0.0702462	0.0217276	0.978272
162	-81.30916	-79.27892	-2.030244	0.0234849	0.0647448	0.0217276	0.978272
163	-80.28352	-76.1575	-4.126019	0.0167462	0.0871187	0.906923	0.0930767
164	-80.10024	-76.34944	-3.750805	0.0167462	0.0843195	0.168941	0.831059
165	-80.09537	-76.34457	-3.750805	0.0167462	0.0843195	0.441549	0.558451
166	-79.21752	-77.78169	-1.435837	0.0167462	0.0670491	0.285466	0.714534
167	-78.54214	-79.1543	0.6121581	0.011217	0.0572996	0.463998	0.536002
168	-80.64114	-79.79309	-0.8480498	0.0221106	0.0572996	0.803831	0.196169
169	-79.67081	-77.01291	-2.6579	0.0172574	0.0756549	0.720574	0.279426
170	-79.96244	-76.2616	-3.700846	0.0154485	0.0852445	0.720574	0.279426
171	-80.18542	-77.22925	-2.956167	0.00989296	0.0852445	0.782447	0.217553
172	-78.74391	-77.76852	-0.975389	0.0138902	0.0664701	0.927757	0.0722431
173	-80.02343	-76.42865	-3.594776	0.0122703	0.0876313	0.927757	0.0722431
174	-78.79871	-77.62815	-1.170562	0.013628	0.0681883	0.927757	0.0722431
175	-80.99694	-79.95753	-1.039413	0.00653034	0.0743075	0.927757	0.0722431
176	-80.2499	-82.36018	2.110283	0.00653034	0.0508098	0.931113	0.0688867
177	-78.38476	-79.54734	1.16258	0.0136005	0.0508098	0.952212	0.0477882
178	-80.68158	-80.51526	-0.1663244	0.0221877	0.0521367	0.927203	0.0727966
179	-81.1587	-83.64062	2.481913	0.0214778	0.0330899	0.915881	0.0841192
180	-81.43257	-83.91448	2.481913	0.0214778	0.0330899	0.372555	0.627445
181	-78.42387	-80.03256	1.60869	0.0128097	0.0482725	0.619672	0.380328
182	-78.86882	-81.86972	3.000908	0.00947222	0.0412236	0.903826	0.0961742
183	-78.56589	-81.50009	2.934193	0.0126352	0.0385584	0.890484	0.109516
184	-80.67041	-84.4385	3.76809	0.00641403	0.0385584	0.833192	0.166808
185	-79.66423	-77.55779	-2.106444	0.0100639	0.0787344	0.90755	0.0924496
186	-78.481	-79.25174	0.7707409	0.0111029	0.0562307	0.918931	0.0810688
187	-78.41582	-79.06288	0.6470663	0.0120255	0.0562307	0.876982	0.123018
188	-79.29534	-77.99353	-1.301812	0.0175381	0.0652574	0.903494	0.0965061
189	-79.60209	-76.91436	-2.687727	0.0116985	0.0814363	0.383433	0.616567
190	-80.08922	-76.69743	-3.391786	0.0112075	0.0871798	0.777117	0.222883
191	-78.54886	-78.65737	0.1085112	0.0124104	0.0598636	0.242381	0.757619
192	-78.83396	-79.30709	0.4731326	0.00969022	0.0598636	0.818792	0.181208
193	-80.78202	-76.98855	-3.79347	0.00969022	0.0916938	0.769374	0.230626
194	-80.77774	-76.98427	-3.79347	0.00969022	0.0916938	0.272893	0.727107
195	-80.9156	-76.79812	-4.117484	0.00992059	0.0938807	0.380416	0.619584
196	-81.6433	-75.37114	-6.272167	0.0170364	0.102839	0.065952	0.934048
197	-78.63942	-79.91141	1.271992	0.0106805	0.0529136	0.0315628	0.968437
198	-78.7096	-78.96894	0.2593408	0.0106805	0.0604682	0.111957	0.888043
199	-79.3019	-77.78029	-1.52161	0.0104283	0.074007	0.161245	0.838755
200	-79.61733	-77.36324	-2.254089	0.010529	0.0793708	0.21798	0.78202
201	-78.60108	-78.17686	-0.4242235	0.0129367	0.0633116	0.709481	0.290519
202	-78.38866	-79.27172	0.883063	0.0129367	0.0535589	0.804372	0.195628
203	-78.95519	-82.51192	3.556727	0.0129367	0.0336125	0.618771	0.381229
204	-80.40584	-80.18691	-0.2189288	0.0213334	0.0533835	0.430711	0.569289
205	-78.51263	-80.03667	1.524043	0.0111135	0.0506002	0.447767	0.552233
206	-78.60166	-80.27602	1.674362	0.0111135	0.0494787	0.0873909	0.912609
207	-78.5709	-79.49368	0.9227745	0.0111135	0.0550858	0.139264	0.860736
208	-79.33039	-79.31494	-0.01545807	0.018113	0.0550858	0.400478	0.599522
209	-79.27255	-79.2571	-0.01545807	0.018113	0.0550858	0.806545	0.193455
210	-78.88025	-81.11215	2.231898	0.0096313	0.0468016	0.239812	0.760188
211	-79.24709	-80.15336	0.9062746	0.00847512	0.0578473	0.110297	0.889703
212	-80.15613	-76.18973	-3.966398	0.0162324	0.0864417	0.633589	0.366411
213	-78.9066	-80.48752	1.580922	0.0163668	0.0449225	0.807384	0.192616
214	-78.39683	-80.57456	2.177734	0.0119144	0.0449225	0.920538	0.0794625
215	-78.36573	-79.47125	1.105526	0.0119144	0.0529215	0.959494	0.0405063
216	-78.42465	-79.25484	0.8301971	0.0139685	0.0529215	0.954914	0.0450857
217	-79.49695	-82.58635	3.089401	0.0168162	0.0332195	0.847889	0.152111
218	-79.07625	-80.96677	1.890523	0.0168162	0.0421635	0.847889	0.152111
219	-78.91079	-79.2937	0.3829169	0.0168162	0.0534107	0.941894	0.0581058
220	-78.99733	-78.47959	-0.5177417	0.0168162	0.0601299	0.902337	0.0976632
221	-78.60401	-78.8405	0.2364883	0.0111894	0.0601299	0.455964	0.544036
222	-79.1261	-77.10816	-2.017947	0.0137188	0.0744193	0.570916	0.429084
223	-79.12919	-77.33638	-1.792811	0.0120392	0.0744193	0.455247	0.544753
224	-79.52061	-76.94666	-2.573948	0.0163878	0.0758982	0.561167	0.438833
225	-80.77109	-76.45865	-4.312443	0.0108389	0.0944168	0.537735	0.462265
226	-78.56181	-78.92786	0.3660548	0.0115647	0.0587879	0.25393	0.74607
227	-79.69897	-76.90407	-2.794896	0.0114764	0.082458	0.134331	0.865669
228	-78.76608	-79.71217	0.9460933	0.0097634	0.056262	0.54384	0.45616
229	-78.59672	-78.27298	-0.3237474	0.0135094	0.0619894	0.549446	0.450554
230	-79.17869	-78.16138	-1.017309	0.0100923	0.0705807	0.420323	0.579677
231	-78.50066	-80.04515	1.544486	0.0125091	0.0490521	0.240765	0.759235
232	-78.65014	-81.93537	3.285228	0.0125091	0.0360656	0.935502	0.0644979
233	-78.9724	-82.02223	3.049829	0.0125091	0.0378218	0.112816	0.887184
234	-78.43122	-79.4211	0.9898835	0.0125091	0.0531896	0.491688	0.508312
235	-78.7868	-80.39254	1.605736	0.00976781	0.0513365	0.225524	0.774476
236	-79.85275	-76.6618	-3.190959	0.0118362	0.0850529	0.759209	0.240791
237	-80.34797	-76.35841	-3.989559	0.017794	0.0850529	0.401472	0.598528
238	-78.76706	-78.96108	0.1940193	0.0158321	0.055804	0.605883	0.394117
239	-78.41165	-79.56641	1.154753	0.0121966	0.0522721	0.605883	0.394117
240	-78.82695	-79.39767	0.570722	0.0164528	0.052373	0.931091	0.0689089
241	-78.92267	-79.49584	0.5731739	0.0164345	0.052373	0.356049	0.643951
242	-79.28163	-77.45663	-1.825004	0.0164345	0.0702641	0.156743	0.843257
243	-80.16744	-77.86654	-2.300897	0.0199848	0.0702641	0.33334	0.66666
244	-79.83256	-76.35644	-3.476124	0.0137081	0.0853084	0.530905	0.469095
245	-79.82279	-76.43187	-3.390921	0.0130725	0.0853084	0.476922	0.523078
246	-80.13145	-77.13432	-2.99713	0.0101347	0.0853084	0.11003	0.88997
247	-78.73268	-79.23237	0.4996872	0.0101347	0.0592211	0.604757	0.395243
248	-78.99884	-78.40574	-0.5931026	0.0101347	0.0673736	0.908202	0.0917984
249	-79.60129	-79.95129	0.3499904	0.0191414	0.0513311	0.737975	0.262025
250	-79.60631	-79.9563	0.3499904	0.0191414	0.0513311	0.709144	0.290856
251	-78.9434	-77.61276	-1.330639	0.0121284	0.0708822	0.291009	0.708991
252	-79.02494	-77.78925	-1.235685	0.0112434	0.0710587	0.155896	0.844104
253	-78.51922	-81.10425	2.585028	0.0125782	0.0412202	0.767627	0.232373
254	-80.17087	-83.47447	3.303604	0.0174486	0.0309891	0.323701	0.676299
